#-------------------------------------------------------------------
# A2744 Spectroscopic Redshift Compilation.
# Benotto P. - Last compiled 2026-05-26
# Please always refer to the latest version of this catalogue: 
# https://pietrobenotto.github.io/research/A2744_redshift_compilation.txt
#
# This catalog compiles spectroscopic redshifts for the A2744 field.
# Redshifts within a 20' radius centered on the cluster are kept.
# The redshifts come from the following surveys:
#
#   - ASTRODEEP-JWST          (Merlin et al. 2024)
#   - UNCOVER                 (Prince et al. 2024)
#   - All the Little Things   (ALT, Naidu et al. 2024)
#   - NIRISS                  (Watson et al. 2025)
#   - DJA redshift compilation (Brammer & Valentino 2025,
#                               https://zenodo.org/records/15472354)
#                               v4.4, grade == 3 only
#   - MUSE surveys compilation:
#       Owers et al. 2011, Braglia et al. 2009, GLASS,
#       Richard et al. 2021, Bergamini et al. 2022,
#       Caminha MUSE DDT 2022, MUSE 2025 (PI: Matthee)
#-------------------------------------------------------------------
# ( 1)  RA           [Right Ascension J2000 (deg)]
#                       Right ascension from the same catalogue as the redshift.
# ( 2)  DEC          [Declination J2000 (deg)]
#                       Declination from the same catalogue as the redshift.
# ( 3)  ID           [Source identifier]
#                       Source identifier. A plain number is the ASTRODEEP ID of the
#                       nearest match within 1 arcsec. If no match exists, the original
#                       catalogue number is kept with a 3-letter prefix indicating its
#                       source. If multiple objects with different redshifts map to the
#                       same ID, a letter suffix is appended (_a, _b, ...).
# ( 4)  zspec        [Spectroscopic redshift]
#                       Spectroscopic redshift. If multiple sources lie within 1 arcsec
#                       and agree within 5% in redshift, only one entry is retained.
# ( 5)  source       [Origin of the redshift value]
# ( 6)  F090W_mag    [JWST/NIRCam F090W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 7)  F200W_mag    [JWST/NIRCam F200W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
# ( 8)  F444W_mag    [JWST/NIRCam F444W (AB magnitude)]
#                       ASTRODEEP KRON flux. -99 if no photometry available.
#-------------------------------------------------------------------
        RA          DEC            ID    zspec                               source  F090W_mag  F200W_mag  F444W_mag 
 3.6106630  -30.3955970         10685   0.3030                            ASTRODEEP    -99.000     18.923     17.999 
 3.5985210  -30.4017720         10693   2.0220                            ASTRODEEP    -99.000     25.029     25.740 
 3.6251207  -30.4014176         10698   2.4941                                  ALT    -99.000     23.439     22.390 
 3.6033060  -30.4015260         10701   0.2530                            ASTRODEEP    -99.000     24.383     25.470 
 3.5406932  -30.3995416         10707   2.9829                                  ALT     23.712     22.537     22.093 
 3.6097520  -30.4003410         10718   2.9689                        Niriss_Watson    -99.000     23.030     22.446 
 3.5452991  -30.4014964         10722   5.7740                                  ALT     27.149     25.985     24.729 
 3.6158204  -30.4009842         10734   1.1046                                  ALT    -99.000     24.241     24.419 
 3.5750800  -30.3996640         10737   1.7410                            ASTRODEEP     22.237     21.751     21.502 
 3.5730383  -30.4017216         10747   3.0337                         Richard_2021     29.453     28.648     28.749 
 3.6203137  -30.4016371         10755   6.3268                                  ALT    -99.000     26.622     26.639 
 3.5522463  -30.4016248         10765   5.6552                                  ALT     27.706     28.290     27.936 
 3.5769440  -30.4008130         10789   1.3430                            ASTRODEEP     23.834     23.760     23.720 
 3.6000570  -30.4011110         10793   0.9450                            ASTRODEEP    -99.000     25.075     25.357 
 3.6115678  -30.4017651         10794   6.6677                                  ALT    -99.000     28.801     28.088 
 3.6187732  -30.4018041         10797   4.9672                                  ALT    -99.000     28.438     28.316 
 3.5798320  -30.4015690         10798   7.0380                            ASTRODEEP     28.850     27.907     25.193 
 3.5458915  -30.4017698         10804   0.7527                                  ALT     25.521     25.683     26.049 
 3.6188236  -30.4014963         10828   4.9590                                  ALT    -99.000     27.041     26.894 
 3.5485657  -30.3989671       10839_a   0.6885                                  ALT     23.672     22.387     21.799 
 3.5486597  -30.3988670       10839_b   1.7065                                  ALT     23.672     22.387     21.799 
 3.5701369  -30.4018410         10841   3.5931                         Richard_2021    -99.000     29.473     30.021 
 3.5934030  -30.4000030         10845   0.3040                            ASTRODEEP    -99.000     22.169     23.186 
 3.5724430  -30.4013000         10873   1.9640                            ASTRODEEP     27.143     26.695     26.871 
